station_name_ja,station_name_ko,source_note
新橋, 신바시,직접 발음 확인 2026-08-16
飛騨古川, 히다후루카와,직접 발음 확인 2026-08-16
高山, 타카야마,직접 발음 확인 2026-08-16
市ヶ谷,이치가야,직접 발음 확인 2026-08-16
西鉄福岡,니시테쓰후쿠오카,직접 발음 확인 2026-08-16
